store_id,product_name,category,price,quantity,sale_date
1,Apple,Grains,7.37,3,2025-10-31
1,Rice,Bakery,19.65,1,2025-11-08
1,Chocolate,Bakery,3.08,2,2025-11-08
1,Juice,Dairy,13.72,3,2025-11-15
1,Juice,Bakery,6.31,2,2025-11-16
1,Cheese,Fruits,13.69,4,16-11-2025
1,Butter,Fruits,11.34,5,2025-11-04
1,Bread,Snacks,8.52,4,25-11-2025
1,Cheese,Dairy,4.26,1,2025-11-18
1,Juice,Beverages,2.73,2,05-11-2025
1,Butter,Beverages,12.34,2,2025-11-03
1,Eggs,Fruits,1.22,3,2025-11-09
1,Butter,Snacks,1.97,4,11-11-2025
1,Eggs,Fruits,17.16,5,31-10-2025
1,Rice,Beverages,5.41,2,2025-11-18
1,Butter,Fruits,15.35,5,2025-11-21
1,,Beverages,7.17,2,2025-11-22
1,Milk,Fruits,19.88,5,2025-11-06
1,Eggs,Fruits,6.99,4,2025-11-14
1,,,9.87,3,2025-11-17
