store_id,product_name,category,price,quantity,sale_date
3,,Dairy,15.49,1,2025-11-15
3,Orange,Beverages,10.2,2,2025-11-08
3,Chocolate,Bakery,19.97,3,2025-11-19
3,Butter,Beverages,19.41,1,2025-11-16
3,Orange,Fruits,18.95,2,2025-11-02
3,Bread,,3.36,2,2025-11-15
3,Bread,Bakery,10.41,4,2025-11-13
3,Rice,Grains,13.27,5,2025-11-14
3,Chocolate,Snacks,13.57,1,2025-11-04
3,Rice,Snacks,4.28,2,2025-11-13
3,Apple,Fruits,2.48,4,2025-11-17
3,Cheese,Beverages,8.25,1,2025-11-13
3,Orange,Grains,4.26,2,2025-11-16
3,Bread,Dairy,4.5,1,2025-11-25
3,Cheese,Dairy,1.88,3,2025-11-05
3,Bread,Grains,12.29,5,2025-11-16
3,Juice,Bakery,3.98,5,2025-10-31
3,Chocolate,Snacks,19.14,5,2025-11-05
3,,Snacks,1.06,1,2025-11-13
3,,Bakery,1.6,2,2025-11-20
